Recency,Frequency,Monetary,recency_score,frequency_score,monetary_score,RFM_SCORE,Segment
3,1,301.8,5,1,5,515,관심 고객
49,1,115.0,4,1,3,413,관심 고객
116,1,163.89,2,1,4,214,이탈 위험 고객
16,1,721.74,5,1,5,515,관심 고객
91,1,271.64,2,1,5,215,이탈 위험 고객
127,1,145.37,1,1,3,113,이탈 위험 고객
17,1,812.76,5,1,5,515,관심 고객
140,1,129.32,1,1,3,113,이탈 위험 고객
108,1,69.16,2,1,2,212,이탈 고객
9,1,73.61,5,1,2,512,신규 고객
124,1,175.5,1,1,4,114,이탈 위험 고객
79,1,87.66,3,1,2,312,이탈 위험 고객
121,1,215.38,1,1,4,114,이탈 위험 고객
66,1,88.51,3,1,2,312,이탈 위험 고객
156,1,187.06,1,1,4,114,이탈 위험 고객
119,1,62.39,1,1,2,112,이탈 고객
100,1,101.72,2,1,3,213,이탈 위험 고객
31,1,140.67,4,1,3,413,관심 고객
130,1,21.94,1,1,1,111,이탈 고객
17,1,131.71,5,1,3,513,관심 고객
16,1,98.11,5,1,3,513,관심 고객
63,1,147.84,3,1,3,313,관심 고객
128,1,93.91,1,1,2,112,이탈 고객
13,1,279.88,5,1,5,515,관심 고객
60,1,81.16,3,1,2,312,이탈 위험 고객
28,1,145.94,5,1,3,513,관심 고객
19,1,456.76,5,1,5,515,관심 고객
8,1,117.81,5,1,3,513,관심 고객
112,1,142.34,2,1,3,213,이탈 위험 고객
109,1,190.0,2,1,4,214,이탈 위험 고객
109,1,158.92,2,1,4,214,이탈 위험 고객
115,1,157.91,2,1,4,214,이탈 위험 고객
109,2,598.8100000000001,2,5,5,255,이탈 위험 고객
95,1,89.36,2,1,2,212,이탈 고객
22,1,52.92,5,1,1,511,신규 고객
38,1,122.84,4,1,3,413,관심 고객
70,1,61.480000000000004,3,1,2,312,이탈 위험 고객
23,1,589.96,5,1,5,515,관심 고객
52,1,69.53,4,1,2,412,신규 고객
71,1,193.0,3,1,4,314,관심 고객
21,1,398.74,5,1,5,515,관심 고객
71,1,86.41,3,1,2,312,이탈 위험 고객
116,1,93.91,2,1,2,212,이탈 고객
15,1,118.49,5,1,3,513,관심 고객
83,1,117.96,3,1,3,313,관심 고객
35,1,308.12,4,1,5,415,관심 고객
118,1,140.88,1,1,3,113,이탈 위험 고객
103,1,71.04,2,1,2,212,이탈 고객
81,1,133.71,3,1,3,313,관심 고객
130,1,132.64,1,1,3,113,이탈 위험 고객
78,1,32.94,3,1,1,311,신규 고객
31,1,159.35,4,1,4,414,관심 고객
130,1,117.35,1,1,3,113,이탈 위험 고객
97,1,68.33,2,1,2,212,이탈 고객
106,1,112.88,2,1,3,213,이탈 위험 고객
82,1,271.08,3,1,5,315,관심 고객
124,1,104.44,1,1,3,113,이탈 위험 고객
62,1,178.41,3,1,4,314,관심 고객
9,1,40.97,5,1,1,511,신규 고객
75,1,116.88,3,1,3,313,관심 고객
99,1,138.25,2,1,3,213,이탈 위험 고객
127,1,47.61,1,1,1,111,이탈 고객
16,1,665.0699999999999,5,1,5,515,관심 고객
28,1,1764.42,5,1,5,515,관심 고객
52,1,123.02,4,1,3,413,관심 고객
110,1,157.78,2,1,4,214,이탈 위험 고객
119,1,70.24,1,1,2,112,이탈 고객
31,1,247.99,4,1,4,414,관심 고객
40,1,33.33,4,1,1,411,신규 고객
125,1,448.51,1,1,5,115,이탈 위험 고객
86,1,82.12,3,1,2,312,이탈 위험 고객
123,1,102.17,1,1,3,113,이탈 위험 고객
106,1,346.76,2,1,5,215,이탈 위험 고객
44,2,238.55,4,5,4,454,충성 고객
44,1,349.93,4,1,5,415,관심 고객
23,1,117.46,5,1,3,513,관심 고객
111,1,91.19,2,1,2,212,이탈 고객
99,1,71.78,2,1,2,212,이탈 고객
16,1,228.96,5,1,4,514,관심 고객
79,1,347.79,3,1,5,315,관심 고객
88,1,22.7,3,1,1,311,신규 고객
103,1,144.58,2,1,3,213,이탈 위험 고객
127,1,704.8,1,1,5,115,이탈 위험 고객
46,1,128.84,4,1,3,413,관심 고객
109,1,237.16,2,1,4,214,이탈 위험 고객
105,1,109.07,2,1,3,213,이탈 위험 고객
114,1,211.03,2,1,4,214,이탈 위험 고객
63,1,81.17,3,1,2,312,이탈 위험 고객
111,1,168.15,2,1,4,214,이탈 위험 고객
58,1,141.56,4,1,3,413,관심 고객
110,1,118.5,2,1,3,213,이탈 위험 고객
135,1,128.25,1,1,3,113,이탈 위험 고객
130,1,289.22,1,1,5,115,이탈 위험 고객
64,1,147.81,3,1,3,313,관심 고객
70,1,386.76,3,1,5,315,관심 고객
22,1,1050.36,5,1,5,515,관심 고객
134,1,60.7,1,1,2,112,이탈 고객
105,1,194.9,2,1,4,214,이탈 위험 고객
111,1,62.31,2,1,2,212,이탈 고객
115,1,125.5,2,1,3,213,이탈 위험 고객
93,1,227.38,2,1,4,214,이탈 위험 고객
106,1,163.24,2,1,4,214,이탈 위험 고객
23,1,154.05,5,1,4,514,관심 고객
119,1,194.3,1,1,4,114,이탈 위험 고객
125,1,73.78,1,1,2,112,이탈 고객
95,1,596.95,2,1,5,215,이탈 위험 고객
108,1,213.73,2,1,4,214,이탈 위험 고객
25,1,104.79,5,1,3,513,관심 고객
148,1,120.09,1,1,3,113,이탈 위험 고객
107,1,213.76,2,1,4,214,이탈 위험 고객
37,1,85.58,4,1,2,412,신규 고객
130,1,113.82,1,1,3,113,이탈 위험 고객
49,1,148.18,4,1,3,413,관심 고객
116,1,53.81,2,1,1,211,이탈 고객
88,1,155.85,3,1,4,314,관심 고객
115,1,419.94,2,1,5,215,이탈 위험 고객
81,1,19.39,3,1,1,311,신규 고객
26,1,193.96,5,1,4,514,관심 고객
75,1,118.6,3,1,3,313,관심 고객
81,1,68.13,3,1,2,312,이탈 위험 고객
118,2,339.46,1,5,5,155,이탈 위험 고객
88,1,100.88,3,1,3,313,관심 고객
81,1,94.52,3,1,2,312,이탈 위험 고객
42,1,160.75,4,1,4,414,관심 고객
29,1,163.02,5,1,4,514,관심 고객
97,1,143.49,2,1,3,213,이탈 위험 고객
29,1,73.77999999999999,5,1,2,512,신규 고객
60,1,141.28,3,1,3,313,관심 고객
80,1,81.46,3,1,2,312,이탈 위험 고객
94,1,33.13,2,1,1,211,이탈 고객
121,1,444.08,1,1,5,115,이탈 위험 고객
130,1,186.64,1,1,4,114,이탈 위험 고객
23,1,177.11,5,1,4,514,관심 고객
114,1,534.96,2,1,5,215,이탈 위험 고객
66,1,1747.72,3,1,5,315,관심 고객
57,1,71.44,4,1,2,412,신규 고객
12,1,452.59000000000003,5,1,5,515,관심 고객
48,1,627.72,4,1,5,415,관심 고객
60,1,180.85,3,1,4,314,관심 고객
81,1,128.85,3,1,3,313,관심 고객
94,1,141.74,2,1,3,213,이탈 위험 고객
108,1,550.26,2,1,5,215,이탈 위험 고객
85,1,31.95,3,1,1,311,신규 고객
34,1,281.84,4,1,5,415,관심 고객
88,1,149.36,3,1,4,314,관심 고객
120,1,67.29,1,1,2,112,이탈 고객
122,1,58.22,1,1,1,111,이탈 고객
140,1,138.92,1,1,3,113,이탈 위험 고객
66,1,320.18,3,1,5,315,관심 고객
45,1,197.45,4,1,4,414,관심 고객
62,1,94.87,3,1,2,312,이탈 위험 고객
25,1,56.6,5,1,1,511,신규 고객
12,1,57.77,5,1,1,511,신규 고객
89,1,105.54,2,1,3,213,이탈 위험 고객
88,1,59.14,3,1,2,312,이탈 위험 고객
18,1,1654.46,5,1,5,515,관심 고객
13,1,269.55,5,1,5,515,관심 고객
78,1,176.4,3,1,4,314,관심 고객
12,1,128.57,5,1,3,513,관심 고객
37,1,74.3,4,1,2,412,신규 고객
42,1,260.06,4,1,5,415,관심 고객
140,1,74.94,1,1,2,112,이탈 고객
106,1,53.83,2,1,1,211,이탈 고객
102,1,87.32,2,1,2,212,이탈 고객
87,1,648.16,3,1,5,315,관심 고객
134,1,71.19,1,1,2,112,이탈 고객
123,1,427.54,1,1,5,115,이탈 위험 고객
127,1,92.1,1,1,2,112,이탈 고객
175,1,96.55,1,1,2,112,이탈 고객
41,1,51.85,4,1,1,411,신규 고객
38,2,103.13,4,5,3,453,잠재적 충성고객
137,1,133.21,1,1,3,113,이탈 위험 고객
122,1,20.69,1,1,1,111,이탈 고객
120,1,538.6,1,1,5,115,이탈 위험 고객
43,1,65.35,4,1,2,412,신규 고객
81,1,78.72,3,1,2,312,이탈 위험 고객
15,1,169.65,5,1,4,514,관심 고객
106,1,281.08,2,1,5,215,이탈 위험 고객
80,1,151.02,3,1,4,314,관심 고객
44,1,101.56,4,1,3,413,관심 고객
110,1,143.75,2,1,3,213,이탈 위험 고객
46,1,727.1,4,1,5,415,관심 고객
29,1,25.78,5,1,1,511,신규 고객
100,1,70.78,2,1,2,212,이탈 고객
89,1,64.34,2,1,2,212,이탈 고객
44,1,150.98,4,1,4,414,관심 고객
136,1,1006.77,1,1,5,115,이탈 위험 고객
113,1,72.1,2,1,2,212,이탈 고객
50,1,72.08,4,1,2,412,신규 고객
127,1,176.65,1,1,4,114,이탈 위험 고객
15,1,91.23,5,1,2,512,신규 고객
24,1,56.07,5,1,1,511,신규 고객
4,1,105.52,5,1,3,513,관심 고객
12,1,24.79,5,1,1,511,신규 고객
32,1,90.29,4,1,2,412,신규 고객
66,1,590.8,3,1,5,315,관심 고객
64,1,707.16,3,1,5,315,관심 고객
24,1,45.23,5,1,1,511,신규 고객
129,1,165.08,1,1,4,114,이탈 위험 고객
79,1,1591.6,3,1,5,315,관심 고객
69,1,71.43,3,1,2,312,이탈 위험 고객
77,1,178.4,3,1,4,314,관심 고객
70,1,68.43,3,1,2,312,이탈 위험 고객
99,1,464.40000000000003,2,1,5,215,이탈 위험 고객
106,1,458.28,2,1,5,215,이탈 위험 고객
66,1,37.41,3,1,1,311,신규 고객
41,1,96.65,4,1,2,412,신규 고객
147,1,241.89000000000001,1,1,4,114,이탈 위험 고객
73,1,35.23,3,1,1,311,신규 고객
114,1,37.85,2,1,1,211,이탈 고객
12,1,355.24,5,1,5,515,관심 고객
87,1,758.0,3,1,5,315,관심 고객
61,1,17.38,3,1,1,311,신규 고객
80,1,29.31,3,1,1,311,신규 고객
135,1,104.86,1,1,3,113,이탈 위험 고객
109,1,219.38,2,1,4,214,이탈 위험 고객
86,1,113.21,3,1,3,313,관심 고객
54,1,315.75,4,1,5,415,관심 고객
108,1,63.23,2,1,2,212,이탈 고객
63,1,1277.3700000000001,3,1,5,315,관심 고객
23,1,82.96,5,1,2,512,신규 고객
68,1,290.24,3,1,5,315,관심 고객
135,1,318.61,1,1,5,115,이탈 위험 고객
64,1,123.68,3,1,3,313,관심 고객
117,1,195.76,2,1,4,214,이탈 위험 고객
42,1,247.48,4,1,4,414,관심 고객
47,1,40.26,4,1,1,411,신규 고객
115,1,252.8,2,1,5,215,이탈 위험 고객
99,1,137.38,2,1,3,213,이탈 위험 고객
107,1,135.8,2,1,3,213,이탈 위험 고객
44,1,23.19,4,1,1,411,신규 고객
68,1,109.56,3,1,3,313,관심 고객
41,1,138.64,4,1,3,413,관심 고객
59,1,49.3,4,1,1,411,신규 고객
73,1,42.62,3,1,1,311,신규 고객
48,1,1759.26,4,1,5,415,관심 고객
88,1,162.66,3,1,4,314,관심 고객
7,1,67.17,5,1,2,512,신규 고객
75,1,129.86,3,1,3,313,관심 고객
80,1,240.47,3,1,4,314,관심 고객
33,1,182.2,4,1,4,414,관심 고객
37,1,69.44,4,1,2,412,신규 고객
35,1,52.93,4,1,1,411,신규 고객
106,1,250.89,2,1,4,214,이탈 위험 고객
127,1,35.38,1,1,1,111,이탈 고객
111,1,75.48,2,1,2,212,이탈 고객
129,1,44.32,1,1,1,111,이탈 고객
18,1,134.65,5,1,3,513,관심 고객
142,1,762.14,1,1,5,115,이탈 위험 고객
113,1,135.72,2,1,3,213,이탈 위험 고객
88,1,321.51,3,1,5,315,관심 고객
113,1,83.7,2,1,2,212,이탈 고객
119,1,127.32,1,1,3,113,이탈 위험 고객
39,1,39.23,4,1,1,411,신규 고객
112,1,314.53,2,1,5,215,이탈 위험 고객
88,1,201.15,3,1,4,314,관심 고객
84,1,369.61,3,1,5,315,관심 고객
91,1,58.34,2,1,1,211,이탈 고객
117,1,50.68,2,1,1,211,이탈 고객
116,1,205.29,2,1,4,214,이탈 위험 고객
127,1,244.5,1,1,4,114,이탈 위험 고객
157,1,269.12,1,1,5,115,이탈 위험 고객
33,1,72.38,4,1,2,412,신규 고객
106,2,259.81,2,5,5,255,이탈 위험 고객
5,1,172.14,5,1,4,514,관심 고객
65,1,81.34,3,1,2,312,이탈 위험 고객
113,3,701.43,2,5,5,255,이탈 위험 고객
121,1,329.09000000000003,1,1,5,115,이탈 위험 고객
47,1,785.2,4,1,5,415,관심 고객
83,1,51.39,3,1,1,311,신규 고객
44,1,212.74,4,1,4,414,관심 고객
58,1,51.29,4,1,1,411,신규 고객
118,1,178.48,1,1,4,114,이탈 위험 고객
109,1,89.36,2,1,2,212,이탈 고객
108,1,73.27,2,1,2,212,이탈 고객
102,1,185.56,2,1,4,214,이탈 위험 고객
24,1,49.45,5,1,1,511,신규 고객
110,1,44.23,2,1,1,211,이탈 고객
140,1,400.02,1,1,5,115,이탈 위험 고객
136,1,461.88,1,1,5,115,이탈 위험 고객
81,1,274.63,3,1,5,315,관심 고객
100,1,70.95,2,1,2,212,이탈 고객
80,1,191.18,3,1,4,314,관심 고객
28,1,224.1,5,1,4,514,관심 고객
182,1,52.1,1,1,1,111,이탈 고객
97,1,250.89,2,1,4,214,이탈 위험 고객
83,1,165.1,3,1,4,314,관심 고객
40,1,83.79,4,1,2,412,신규 고객
22,1,56.6,5,1,1,511,신규 고객
48,1,177.99,4,1,4,414,관심 고객
114,1,50.23,2,1,1,211,이탈 고객
108,1,209.37,2,1,4,214,이탈 위험 고객
39,1,1034.06,4,1,5,415,관심 고객
82,1,48.13,3,1,1,311,신규 고객
106,1,190.46,2,1,4,214,이탈 위험 고객
108,1,52.22,2,1,1,211,이탈 고객
10,1,76.74,5,1,2,512,신규 고객
121,1,81.02,1,1,2,112,이탈 고객
16,1,119.37,5,1,3,513,관심 고객
32,1,82.56,4,1,2,412,신규 고객
272,1,116.0,1,1,3,113,이탈 위험 고객
117,1,53.22,2,1,1,211,이탈 고객
80,1,305.32,3,1,5,315,관심 고객
112,2,375.4,2,5,5,255,이탈 위험 고객
24,1,48.87,5,1,1,511,신규 고객
120,1,128.85,1,1,3,113,이탈 위험 고객
135,1,138.74,1,1,3,113,이탈 위험 고객
73,1,133.4,3,1,3,313,관심 고객
15,1,193.84,5,1,4,514,관심 고객
11,1,51.16,5,1,1,511,신규 고객
95,1,412.76,2,1,5,215,이탈 위험 고객
96,1,64.21,2,1,2,212,이탈 고객
127,1,68.13,1,1,2,112,이탈 고객
36,1,169.95,4,1,4,414,관심 고객
7,1,95.78,5,1,2,512,신규 고객
91,1,183.84,2,1,4,214,이탈 위험 고객
112,1,50.72,2,1,1,211,이탈 고객
51,1,141.19,4,1,3,413,관심 고객
63,1,32.58,3,1,1,311,신규 고객
72,1,184.39,3,1,4,314,관심 고객
28,1,345.38,5,1,5,515,관심 고객
107,1,127.4,2,1,3,213,이탈 위험 고객
130,1,52.22,1,1,1,111,이탈 고객
84,1,388.26,3,1,5,315,관심 고객
27,1,113.33,5,1,3,513,관심 고객
53,1,87.11,4,1,2,412,신규 고객
66,1,85.81,3,1,2,312,이탈 위험 고객
19,1,139.22,5,1,3,513,관심 고객
73,1,84.84,3,1,2,312,이탈 위험 고객
108,1,308.95,2,1,5,215,이탈 위험 고객
91,1,46.13,2,1,1,211,이탈 고객
19,1,520.02,5,1,5,515,관심 고객
75,1,42.51,3,1,1,311,신규 고객
27,1,235.06,5,1,4,514,관심 고객
78,1,84.28,3,1,2,312,이탈 위험 고객
32,1,113.33,4,1,3,413,관심 고객
24,1,232.07,5,1,4,514,관심 고객
45,1,80.44,4,1,2,412,신규 고객
65,1,93.56,3,1,2,312,이탈 위험 고객
34,1,223.84,4,1,4,414,관심 고객
93,1,133.3,2,1,3,213,이탈 위험 고객
87,1,113.96,3,1,3,313,관심 고객
43,1,69.16,4,1,2,412,신규 고객
118,1,315.25,1,1,5,115,이탈 위험 고객
14,1,64.44,5,1,2,512,신규 고객
91,1,189.0,2,1,4,214,이탈 위험 고객
60,1,126.36,3,1,3,313,관심 고객
36,1,385.88,4,1,5,415,관심 고객
93,1,202.15,2,1,4,214,이탈 위험 고객
70,1,280.84,3,1,5,315,관심 고객
20,1,18.78,5,1,1,511,신규 고객
30,1,782.16,5,1,5,515,관심 고객
10,1,81.95,5,1,2,512,신규 고객
115,1,140.09,2,1,3,213,이탈 위험 고객
136,1,136.6,1,1,3,113,이탈 위험 고객
55,1,24.73,4,1,1,411,신규 고객
73,1,88.32,3,1,2,312,이탈 위험 고객
99,1,823.12,2,1,5,215,이탈 위험 고객
94,1,175.84,2,1,4,214,이탈 위험 고객
13,1,36.04,5,1,1,511,신규 고객
77,1,307.54,3,1,5,315,관심 고객
84,1,98.97,3,1,3,313,관심 고객
71,1,118.7,3,1,3,313,관심 고객
24,1,22.29,5,1,1,511,신규 고객
134,1,909.31,1,1,5,115,이탈 위험 고객
63,1,68.44,3,1,2,312,이탈 위험 고객
26,1,88.28,5,1,2,512,신규 고객
4,1,26.29,5,1,1,511,신규 고객
84,1,119.82,3,1,3,313,관심 고객
46,1,91.61,4,1,2,412,신규 고객
65,1,302.4,3,1,5,315,관심 고객
74,1,170.14,3,1,4,314,관심 고객
135,1,128.75,1,1,3,113,이탈 위험 고객
131,1,112.68,1,1,3,113,이탈 위험 고객
24,1,257.18,5,1,5,515,관심 고객
71,1,50.35,3,1,1,311,신규 고객
45,1,98.14,4,1,3,413,관심 고객
159,1,184.55,1,1,4,114,이탈 위험 고객
31,1,283.88,4,1,5,415,관심 고객
76,1,692.82,3,1,5,315,관심 고객
125,1,48.19,1,1,1,111,이탈 고객
130,1,175.52,1,1,4,114,이탈 위험 고객
21,1,75.42,5,1,2,512,신규 고객
68,1,112.77,3,1,3,313,관심 고객
90,1,64.34,2,1,2,212,이탈 고객
114,1,585.7,2,1,5,215,이탈 위험 고객
140,1,132.69,1,1,3,113,이탈 위험 고객
70,1,56.5,3,1,1,311,신규 고객
37,1,33.43,4,1,1,411,신규 고객
72,1,94.74,3,1,2,312,이탈 위험 고객
98,1,34.82,2,1,1,211,이탈 고객
26,1,200.88,5,1,4,514,관심 고객
73,1,591.36,3,1,5,315,관심 고객
29,1,590.8,5,1,5,515,관심 고객
86,1,56.900000000000006,3,1,1,311,신규 고객
47,1,277.95,4,1,5,415,관심 고객
115,1,257.28,2,1,5,215,이탈 위험 고객
31,1,58.46,4,1,2,412,신규 고객
123,1,162.63,1,1,4,114,이탈 위험 고객
114,1,128.48,2,1,3,213,이탈 위험 고객
113,1,98.97,2,1,3,213,이탈 위험 고객
21,1,215.57,5,1,4,514,관심 고객
13,1,198.96,5,1,4,514,관심 고객
43,1,224.32,4,1,4,414,관심 고객
71,1,92.01,3,1,2,312,이탈 위험 고객
27,1,97.9,5,1,3,513,관심 고객
90,1,63.88,2,1,2,212,이탈 고객
15,1,103.26,5,1,3,513,관심 고객
12,1,41.04,5,1,1,511,신규 고객
70,1,504.65,3,1,5,315,관심 고객
30,1,180.3,5,1,4,514,관심 고객
111,1,333.44,2,1,5,215,이탈 위험 고객
127,1,313.55,1,1,5,115,이탈 위험 고객
133,1,228.02,1,1,4,114,이탈 위험 고객
19,1,113.7,5,1,3,513,관심 고객
85,1,114.47,3,1,3,313,관심 고객
25,1,161.12,5,1,4,514,관심 고객
31,1,21.38,4,1,1,411,신규 고객
57,1,48.05,4,1,1,411,신규 고객
133,1,47.06,1,1,1,111,이탈 고객
99,1,48.34,2,1,1,211,이탈 고객
189,1,39.24,1,1,1,111,이탈 고객
28,1,223.45,5,1,4,514,관심 고객
81,1,60.15,3,1,2,312,이탈 위험 고객
87,1,121.7,3,1,3,313,관심 고객
108,1,87.32,2,1,2,212,이탈 고객
116,1,73.77,2,1,2,212,이탈 고객
143,1,660.16,1,1,5,115,이탈 위험 고객
17,1,312.37,5,1,5,515,관심 고객
31,1,153.04,4,1,4,414,관심 고객
103,1,102.94,2,1,3,213,이탈 위험 고객
56,1,117.48,4,1,3,413,관심 고객
133,1,65.03,1,1,2,112,이탈 고객
64,1,79.14,3,1,2,312,이탈 위험 고객
15,1,34.45,5,1,1,511,신규 고객
92,1,151.61,2,1,4,214,이탈 위험 고객
80,1,116.33,3,1,3,313,관심 고객
116,1,914.05,2,1,5,215,이탈 위험 고객
63,2,1395.63,3,5,5,355,충성 고객
45,1,76.6,4,1,2,412,신규 고객
91,1,33.88,2,1,1,211,이탈 고객
119,1,82.32,1,1,2,112,이탈 고객
120,1,69.14,1,1,2,112,이탈 고객
79,1,240.67,3,1,4,314,관심 고객
37,1,166.12,4,1,4,414,관심 고객
17,1,41.16,5,1,1,511,신규 고객
28,1,73.22,5,1,2,512,신규 고객
134,1,521.13,1,1,5,115,이탈 위험 고객
43,1,203.89,4,1,4,414,관심 고객
121,1,268.76,1,1,5,115,이탈 위험 고객
135,1,33.88,1,1,1,111,이탈 고객
133,1,411.84,1,1,5,115,이탈 위험 고객
100,1,170.73,2,1,4,214,이탈 위험 고객
112,1,105.54,2,1,3,213,이탈 위험 고객
120,1,99.9,1,1,3,113,이탈 위험 고객
37,1,571.85,4,1,5,415,관심 고객
33,1,243.58,4,1,4,414,관심 고객
30,1,398.75,5,1,5,515,관심 고객
116,1,51.05,2,1,1,211,이탈 고객
41,1,50.1,4,1,1,411,신규 고객
69,1,48.41,3,1,1,311,신규 고객
72,1,41.86,3,1,1,311,신규 고객
93,1,88.07,2,1,2,212,이탈 고객
44,1,72.97,4,1,2,412,신규 고객
134,1,87.32,1,1,2,112,이탈 고객
123,1,1072.18,1,1,5,115,이탈 위험 고객
86,1,22.36,3,1,1,311,신규 고객
74,1,250.01,3,1,4,314,관심 고객
4,1,48.31,5,1,1,511,신규 고객
88,1,32.39,3,1,1,311,신규 고객
50,1,1445.82,4,1,5,415,관심 고객
40,1,114.77,4,1,3,413,관심 고객
105,1,157.42,2,1,4,214,이탈 위험 고객
58,1,58.37,4,1,1,411,신규 고객
39,1,55.82,4,1,1,411,신규 고객
122,1,1735.24,1,1,5,115,이탈 위험 고객
44,1,192.49,4,1,4,414,관심 고객
85,1,147.48,3,1,3,313,관심 고객
31,1,195.54,4,1,4,414,관심 고객
95,1,31.21,2,1,1,211,이탈 고객
131,1,692.18,1,1,5,115,이탈 위험 고객
140,2,65.06,1,5,2,152,이탈 위험 고객
98,1,97.03,2,1,2,212,이탈 고객
116,1,131.45,2,1,3,213,이탈 위험 고객
107,1,155.82,2,1,4,214,이탈 위험 고객
41,1,624.96,4,1,5,415,관심 고객
44,1,110.74,4,1,3,413,관심 고객
74,1,437.4,3,1,5,315,관심 고객
89,1,92.5,2,1,2,212,이탈 고객
38,1,46.6,4,1,1,411,신규 고객
37,1,158.09,4,1,4,414,관심 고객
86,1,257.94,3,1,5,315,관심 고객
28,1,185.49,5,1,4,514,관심 고객
105,1,106.17,2,1,3,213,이탈 위험 고객
120,1,124.39,1,1,3,113,이탈 위험 고객
119,1,45.36,1,1,1,111,이탈 고객
72,1,379.71,3,1,5,315,관심 고객
38,1,99.75,4,1,3,413,관심 고객
27,1,93.28,5,1,2,512,신규 고객
21,1,62.65,5,1,2,512,신규 고객
16,1,28.95,5,1,1,511,신규 고객
33,1,325.04,4,1,5,415,관심 고객
16,1,208.42,5,1,4,514,관심 고객
11,1,41.78,5,1,1,511,신규 고객
29,1,67.44,5,1,2,512,신규 고객
57,1,99.65,4,1,3,413,관심 고객
84,1,89.36,3,1,2,312,이탈 위험 고객
108,1,22.58,2,1,1,211,이탈 고객
100,1,18.87,2,1,1,211,이탈 고객
124,1,48.13,1,1,1,111,이탈 고객
37,1,179.12,4,1,4,414,관심 고객
107,1,156.49,2,1,4,214,이탈 위험 고객
37,1,200.33,4,1,4,414,관심 고객
25,1,437.33,5,1,5,515,관심 고객
109,1,28.22,2,1,1,211,이탈 고객
136,1,236.57,1,1,4,114,이탈 위험 고객
17,1,51.32,5,1,1,511,신규 고객
118,1,689.66,1,1,5,115,이탈 위험 고객
114,1,279.6,2,1,5,215,이탈 위험 고객
155,1,47.83,1,1,1,111,이탈 고객
31,1,23.38,4,1,1,411,신규 고객
43,1,163.78,4,1,4,414,관심 고객
23,1,134.58,5,1,3,513,관심 고객
42,1,270.88,4,1,5,415,관심 고객
35,1,70.89,4,1,2,412,신규 고객
83,1,45.22,3,1,1,311,신규 고객
123,1,288.46,1,1,5,115,이탈 위험 고객
43,1,199.28,4,1,4,414,관심 고객
143,1,97.12,1,1,2,112,이탈 고객
108,1,47.41,2,1,1,211,이탈 고객
